name,x,y,width,height
r1,9600,2930,3,1
r2,3357,760,4,19
r3,2525,9541,3,3
r4,8691,6424,2,13
r5,8714,3406,1,17
r6,2411,8283,4,10
r7,5819,4522,3,17
r8,7435,8041,5,8
r9,834,6404,4,17
r10,9103,6349,3,18
r11,9942,3074,3,8
r12,8844,364,1,4
r13,5044,5040,3,5
r14,7948,883,4,8
r15,1148,6428,3,2
r16,8543,5325,3,8
r17,9648,501,2,3
r18,2246,155,2,14
r19,2482,7018,3,19
r20,4075,5089,1,16
r21,4650,9964,4,3
r22,3004,2944,1,13
r23,3345,5108,2,14
r24,4930,7764,3,8
r25,6923,7978,2,16
r26,8102,6962,4,19
r27,4813,7643,3,3
r28,4078,5024,1,7
r29,2074,33,5,19
r30,8189,1339,3,19
r31,9180,9284,5,9
r32,8465,2531,3,6
r33,6069,4908,5,19
r34,9864,1143,1,1
r35,5717,3107,4,1
r36,3987,8012,2,6
r37,5613,146,5,7
r38,1258,7046,4,9
r39,2803,4819,2,3
r40,7356,5416,5,16
r41,1849,3754,2,18
r42,6816,3227,2,18
r43,5410,9405,4,19
r44,6244,6067,4,20
r45,1916,3263,4,7
r46,6912,2064,2,2
r47,2245,791,3,9
r48,6622,5943,4,8
r49,8519,1284,2,19
r50,8562,8217,1,16
r51,4905,6606,5,6
r52,4857,4513,3,11
r53,8467,2542,3,15
r54,319,3038,5,18
r55,6378,595,3,18
r56,9464,539,3,2
r57,5994,8228,1,5
r58,6207,612,3,2
r59,1773,9022,3,14
r60,1805,5819,4,10
r61,1385,4261,1,17
r62,3373,44,2,3
r63,1438,3306,5,2
r64,8413,438,2,18
r65,1697,304,2,20
r66,7872,9943,2,9
r67,5635,2042,2,1
r68,8826,6318,3,7
r69,5797,1609,4,13
r70,7966,6566,3,13
r71,8110,8489,5,8
r72,5995,6479,1,20
r73,2316,8848,4,4
r74,1839,7831,2,6
r75,5943,4846,2,6
r76,6196,6003,4,3
r77,2671,7524,4,10
r78,9337,8471,3,3
r79,6170,2516,5,2
r80,4919,2426,3,7
r81,3209,374,2,8
r82,8939,3078,5,11
r83,3146,3079,1,13
r84,3094,1394,5,8
r85,8036,3876,2,10
r86,7108,3375,4,17
r87,8721,7167,1,10
r88,2323,3255,5,5
r89,6149,494,4,12
r90,9342,9180,5,1
r91,330,667,3,8
r92,4513,3166,3,1
r93,6780,52,1,12
r94,8350,9983,4,17
r95,114,5722,5,8
r96,5642,596,4,18
r97,1962,7227,3,14
r98,8315,9534,1,18
r99,424,5314,1,7
r100,7266,5520,2,12
r101,5986,2736,3,10
r102,9989,9172,5,11
r103,3432,2083,4,6
r104,2761,1677,4,15
r105,5382,7926,2,8
r106,4270,7740,1,14
r107,3915,352,4,5
r108,4069,7589,3,8
r109,945,5250,2,20
r110,2244,7419,5,20
r111,121,2124,1,3
r112,7744,2017,3,4
r113,9099,9857,4,16
r114,7743,969,3,13
r115,397,3193,5,3
r116,878,4410,5,5
r117,2875,3764,4,7
r118,7941,6692,3,3
r119,8613,8384,2,2
r120,9979,8946,1,2
r121,1660,9338,1,20
r122,9982,2043,1,1
r123,664,1904,1,13
r124,1569,546,2,14
r125,7841,2540,3,11
r126,6916,4884,5,6
r127,4600,3522,4,14
r128,3779,7170,1,5
r129,3527,2511,2,8
r130,8349,2638,4,20
r131,3643,8216,4,6
r132,7761,4642,1,11
r133,3752,2691,5,14
r134,2952,8733,1,2
r135,5011,4045,4,17
r136,1318,202,5,13
r137,7848,5160,5,19
r138,3494,9882,2,1
r139,9628,6475,4,12
r140,4115,5195,2,1
r141,5815,4643,5,8
r142,1002,5256,1,7
r143,8051,1274,3,16
r144,8708,328,4,13
r145,5128,318,3,10
r146,9971,9777,3,4
r147,1187,9397,2,9
r148,5037,5724,1,2
r149,123,5346,1,11
r150,2246,619,5,2
r151,4757,1619,1,10
r152,5275,7827,5,17
r153,4466,8801,4,10
r154,6299,8755,5,17
r155,2715,5617,2,3
r156,6705,2155,1,17
r157,3910,9086,1,1
r158,9740,4070,2,16
r159,352,4441,3,3
r160,8968,2900,1,10
r161,170,1436,2,18
r162,834,1233,4,2
r163,2874,9436,4,10
r164,8856,1032,2,1
r165,48,781,1,15
r166,9828,7802,1,12
r167,5756,638,2,5
r168,2413,7828,2,16
r169,9257,477,5,13
r170,4756,2156,2,8
r171,1976,9340,3,17
r172,5756,9116,3,19
r173,2340,2292,3,15
r174,1811,6638,3,13
r175,1768,1710,4,12
r176,1270,6081,1,16
r177,7031,9570,2,1
r178,2679,4747,1,17
r179,9213,3409,2,19
r180,126,6158,1,13
r181,269,9353,1,13
r182,8658,1593,1,8
r183,320,7802,1,7
r184,6430,5933,1,5
r185,8331,5215,5,5
r186,7410,2269,3,9
r187,1993,4250,5,10
r188,7785,1108,3,20
r189,4398,5981,5,1
r190,6557,8737,5,1
r191,9518,3491,2,15
r192,1195,7332,5,9
r193,2621,8508,4,16
r194,7083,9553,2,12
r195,2363,6127,4,12
r196,8985,7729,1,15
r197,7717,1234,1,1
r198,5935,1978,2,4
r199,3397,3620,3,14
r200,544,5327,4,19
r201,1673,8209,2,9
r202,6075,3798,5,12
r203,2533,6226,5,5
r204,5699,5253,2,6
r205,5513,8291,5,18
r206,8607,5593,4,18
r207,7410,1501,2,1
r208,9100,5948,4,16
r209,2622,9441,3,9
r210,5708,1578,3,15
r211,7774,6769,5,18
r212,5930,8050,4,11
r213,8709,732,3,9
r214,3112,782,3,11
r215,2125,8174,3,7
r216,8438,4953,3,3
r217,3475,9889,3,15
r218,903,5037,4,4
r219,7769,1481,2,16
r220,8670,8001,3,3
r221,4489,5813,4,17
r222,2457,6206,5,11
r223,6118,1422,3,9
r224,5757,4346,3,15
r225,3451,600,3,2
r226,1467,3570,4,6
r227,3142,9704,2,13
r228,263,4947,5,17
r229,1697,6492,1,20
r230,3975,9017,2,9
r231,7265,9420,3,3
r232,5560,9934,3,15
r233,4569,1002,2,16
r234,3174,3989,5,10
r235,2069,7149,3,6
r236,3236,1439,4,20
r237,7558,9032,3,4
r238,6301,7028,2,20
r239,3869,4799,2,8
r240,7885,8789,4,10
r241,5148,9318,1,20
r242,1806,4437,5,12
r243,2564,9445,1,18
r244,7995,8049,1,7
r245,4681,8195,1,9
r246,7272,8722,4,10
r247,5014,4673,4,20
r248,3503,6626,5,16
r249,3021,9080,1,3
r250,8576,8935,3,1
r251,742,3406,4,2
r252,9951,7355,1,7
r253,8709,6118,3,17
r254,9579,2224,4,20
